mpid,formula
mp-1007862,Fe6Ni2
mp-1007881,Fe4B4
mp-10079,Tb3Ag3Ge3
mp-1007900,Eu3Tl3S6
mp-1007906,Er2H2
mp-1007907,Er3Tl3Te6
mp-1007918,Dy4Au4
mp-1007922,Cu4I4
mp-1007923,Cr2Ni6
mp-1007974,Cr1Ni3
mp-1007991,Cr4In4Ni8
mp-1007992,Cr2H2
mp-1008,Ni1Hg1
mp-10080,Pr3Ge3B3O15
mp-1008223,Ca4Se4
mp-1008274,Co3W1
mp-1008278,Cr3Ni1
mp-1008279,Co3Mo1
mp-1008280,Cr1Co3
mp-1008282,Cr12Fe4
mp-1008483,Cd2N2
mp-1008487,B4W4
mp-1008489,Cd1N1
mp-1008491,Be4Si4P8
mp-1008492,Br4Cl4
mp-1008500,Ba2O2
mp-1008505,Ba4Pd4
mp-1008506,Ba1Ga1Si1H1
mp-1008511,Ba3Ga3Cu6
mp-1008523,B1C2N1
mp-1008524,Be2Se2
mp-1008525,B6C3N3
mp-1008526,B2C1N1
mp-1008527,B2C1N1
mp-1008554,Al3V1
mp-1008555,Al1Cu3
mp-1008556,Al1Ga1N2
mp-1008557,Al1B1N2
mp-1008559,B2P2
mp-1008568,Zr1Ti2
mp-1008600,Zr1N2
mp-1008601,Zr2Ag4
mp-1008617,Yb2Ag4
mp-1008625,W2C1
mp-1008626,V1Te2
mp-1008631,V4Co4Te4
mp-1008632,V2C1
mp-1008650,Ce1Se1
mp-1008661,Au1C1
mp-1008673,Tm1Cd2
mp-1008676,Ti1S2
mp-1008677,Ti4O8
mp-1008682,Ti2S4
mp-1008689,Ti8Si4
mp-1008752,Ce1Te1
mp-1008754,Tb1Hg2
mp-1008755,Sr1B2
mp-1008762,Ta1N2
mp-1008776,Sr3C6
mp-1008777,Sm1Hg2
mp-1008786,Mg4Te4
mp-1008798,Re1N2
mp-1008802,Re1C2
mp-1008805,Re1C2
mp-1008806,Re2C4
mp-1008809,Pt1N2
mp-1008823,Os2N4
mp-1008832,Hf1C1
mp-1008833,Np4N8
mp-1008835,Os1C2
mp-1008860,Nb2S4
mp-1008865,Nd1Cd2
mp-1008867,Na4Cu4O4
mp-1008873,Mn4Co4Se4
mp-1008875,Mn8Sb4
mp-1008876,Mn4Co4S4
mp-1008881,Mg1Ni1H1
mp-1008902,Lu2Sb4
mp-1008910,Lu1Cd2
mp-1008920,Mn8Ge4
mp-1008922,Cu4N4
mp-1008923,Cu1N1
mp-1008925,Li2Fe2P2
mp-1008927,Li2Fe2As2
mp-1008929,Fe4N4
mp-1008965,Cd1N1
mp-1008985,Co1N1
mp-1008998,La1S1
mp-1008999,La1Se1
mp-1009,Sr4Si24
mp-1009009,Li1F1
mp-1009015,Ir1N1
mp-1009019,Fe1N1
mp-1009020,K4Cu4O4
mp-1009049,Ir1N2
mp-1009071,Ir2C4
mp-1009078,Co4N4
mp-1009080,Ho1Cd2
mp-1009084,Be4Sn4As8
mp-1009085,Be4Si4P8
mp-1009086,Be4Sn4P8
mp-1009088,Be4Ge4As8
mp-10091,K4V4Cu8Se16
mp-1009113,Ho1Hg2
mp-1009127,Mg1O1
mp-1009128,Mn1N1
mp-1009129,Mg1O1
mp-1009131,Mn4As4
mp-1009133,Mn1Co1
mp-1009134,Mn1Fe1
mp-1009135,Mn4P4
mp-10092,K1Cu4Se3
mp-1009206,Mn1Sn1
mp-1009207,Mn1Sb1
mp-1009213,Mn4Sb4
mp-1009217,Mn4Sb4
mp-1009219,Hf1N2
mp-1009221,Na4N4
mp-1009222,Mn4Te4
mp-1009223,Na1As1
mp-1009230,Nd1As1
mp-1009237,Nd1N1
mp-1009238,Hf4Tl2
mp-1009264,Nb1Co1
mp-10094,Tm10Re4O24
mp-1009471,Nb1N1
mp-1009488,Ni4N4
mp-1009491,Rb4Te4
mp-1009493,Np1N1
mp-1009504,Eu1Zn1Ge1
mp-1009551,Pb1S1
mp-1009581,Cr1Se2
mp-1009583,Pr1As1
mp-1009593,Cr4Co4Te4
mp-1009596,Pd1N1
mp-10096,Na6Sr6Ga2P8
mp-1009601,Pd1N1
mp-1009640,Pr1N1
mp-1009641,Co1Te2
mp-1009646,Re1N1
mp-1009648,Pt1C1
mp-1009649,Pr1N1
mp-1009650,Rb4Sb4
mp-1009651,Ca1Hg2
mp-1009653,Ca3C6
mp-1009654,Ca1Ge2
mp-1009655,Ca1C2
mp-1009657,Ca2N4
mp-1009695,Ca1B2
mp-10097,Na6Sr6Ga2As8
mp-1009730,Ca8Sn4
mp-1009731,Re1C1
mp-1009732,Rh1N1
mp-1009735,Re1C1
mp-1009747,Sc4Sn4
mp-1009748,Sc1C1
mp-1009750,Sc4N4
mp-1009751,Sc4C4
mp-1009755,Ca8Ge4
mp-1009767,Ag1N1
mp-1009814,Sm1As1
mp-1009817,Ta1C1
mp-1009818,C2N4
mp-1009819,Sr1O1
mp-1009823,Be1B2
mp-1009827,Ba2Si4
mp-1009828,Ba2Si2C2
mp-1009829,Be8Si4
mp-1009830,Be8Zn4
mp-1009831,Ta1N1
mp-1009834,Al4Ru2
mp-1009835,Ta1C1
mp-1009836,Zr1N1
mp-1009837,Tc4C4
mp-1009839,Tb1Al1
mp-1010,Mn2B8
mp-1010071,Cr1Co1
mp-10101,Cs2Ag2C4
mp-1010161,Dy1As1
mp-10102,K1Ag1C2
mp-10103,Li2Yb2Al2F12
mp-10105,U2Te2As2
mp-10106,Ca8As4
mp-1010953,Mg1Ni1
mp-10110,Si1Rh1
mp-1011031,Pr1Bi1
mp-10112,La1B2Ir3
mp-1011374,Ce3Se6
mp-1011375,Ce2Se4
mp-1011376,Ce1Se2
mp-1011377,Ce4Se8
mp-10114,Sc2B8Ir6
mp-10115,Th1B2Ir3
mp-1011697,Cs4Se2
mp-1011730,Cs8Se4
mp-10118,Mn6B8
mp-1011858,Na8Co4P8O28
mp-1012103,V16Ni8O48
mp-1012435,Pb2S2
mp-10125,Sb2Ir2
mp-1012551,Ba4Br4Cl4
mp-10126,V20Si4B8
mp-1012640,Cr2Fe2Co2Ni2
mp-1012740,H24Ru4C4I12N4
mp-10128,Th4Ge8
mp-10132,U1B2Os3
mp-1013525,V2S4
mp-1013526,V3S6
mp-1013527,Be4Ge4P8
mp-1013529,Sr3N2
mp-1013530,Sr3Bi1P1
mp-1013532,Sr3As1P1
mp-1013535,Sr3Sb1P1
mp-1013542,Ca3Bi1N1
mp-1013544,Ca3Sb1As1
mp-1013545,Ca3Bi1As1
mp-1013550,Ca3Sb1P1
mp-1013552,Sr3P2
mp-1013558,Ca3Bi1P1
mp-1013561,Sr3Sb1As1
mp-1013565,Na8Co4P8O28
mp-1013577,Na4Co2P4O14
mp-1013582,Ba3Sb2
mp-1013583,Sr3Sb2
mp-1013585,Sr3Bi1Sb1
mp-1013587,Sr3Bi2
mp-1013599,Na8Co4P8O28
mp-10136,Ti4Re2B4
mp-1013642,Ca3As1P1
mp-10137,U1B2Ru3
mp-1013702,Ca3Bi1P1
mp-1013703,Ca3Bi1As1
mp-1013706,Sr3Bi1Sb1
mp-1013708,Ba3Sb1N1
mp-1013709,Ba3As1N1
mp-1013710,Ba3Bi1N1
mp-1013712,Ba3Sb1P1
mp-1013713,Ba3Bi1P1
mp-1013719,Ba3Bi1Sb1
mp-1013730,Cd20S16Cl8
mp-1013733,Ca3Bi1Sb1
mp-1013735,Ca3Bi2
mp-1013737,Ba3Sb1P1
mp-1013900,Ti2S2Cl2
mp-1013939,Ti12S12F12
mp-1014,Zr4Mn8
mp-10140,Sc3Tl1B1
mp-10141,Sm1B2
mp-1014138,Zr2B2
mp-1014160,Zr2N2
mp-10142,Ta6B8
mp-1014214,C3N1
mp-1014219,Hf1Zn1
mp-1014226,Zr12Zn4N4
mp-1014227,Ti8Zn4N4
mp-1014229,Ti4Zn2
mp-1014231,Hf4Zn2
mp-1014244,Zr1Zn1N2
mp-1014246,Zr2B2
mp-1014251,Hf1Zn1N2
mp-1014252,Hf12Zn4N4
mp-1014257,Ti12Zn4N4
mp-1014261,Ir4O8
mp-1014264,Cr4N8
mp-1014265,Zr4N2
mp-1014281,C6N2
mp-1014286,C6N2
mp-1014287,C6N2
mp-1014296,C12N4
mp-1014297,C12N4
mp-1014298,C6N2
mp-10143,Ti4B4
mp-1014303,Cr6N4
mp-1014307,Zr2C2
mp-1014311,C12N4
mp-1014316,C3N1
mp-1014318,Cr48N32
mp-1014324,C12N4
mp-1014332,C24N8
mp-1014333,C12N4
mp-1014339,Cr12N24
mp-1014345,Cr6N8
mp-1014347,Cr12N16
mp-1014358,Cr12N16
mp-1014365,Cr12N16
mp-1014366,Cr2N4
mp-1014369,Cr12N16
mp-1014373,Cr8N16
mp-1014379,Cr24N32
mp-10144,B2W1
mp-1014444,Cr12N8
mp-1014454,Cr3N2
mp-1014460,Cr3N4
mp-1014462,Li4Y2Al2
mp-1014478,Cr4N8
mp-10145,Yb1B2
mp-1014509,Cr3N2
mp-1014558,Cr6N8
mp-10148,In1Sb1
mp-1014873,Na2Li4As2
mp-1014910,Cr8N16
mp-1014993,Cr4N8
mp-1015,Zr8Mn16
mp-1015026,Cr8N16
mp-1015061,Na2Li4Sn2
mp-1015065,Cr12N16
mp-1015076,Cr4N8
mp-10154,Mn4Sb4Ir4
mp-1015567,Cr4N8
mp-1015582,Cr4N8
mp-1015612,Cr3N6
mp-1015811,Al2Co4Si2
mp-1015814,Li2Mg4Al2
mp-1015908,Cr3N6
mp-1016,Pu4Ge8
mp-1016048,Cr32N64
mp-1016058,Cr8N16
mp-1016059,Cr32N64
mp-1016063,Cr4N8
mp-1016069,Cr4N8
mp-1016070,Cr4N8
mp-1016071,Cr18N24
mp-1016073,Cr12N24
mp-1016076,Cr32N64
mp-1016081,Cr32N64
mp-1016095,Li12Mn24O48
mp-10161,K1Zn1Sb1
mp-1016106,Hf4Zn64
mp-1016108,Ti4Zn4N8
mp-1016119,Na4Mn4O8
mp-1016120,K4Mn4O8
mp-1016144,Mg2Mn6O12
mp-1016145,Ca2Mn6O12
mp-1016152,Na4Mn4O8
mp-1016154,Mg4Mn4O8
mp-1016155,Na2Mn8O16
mp-1016190,K8Mn24O48
mp-1016197,Mg4Si4As8
mp-10162,La6Si4
mp-1016200,Mg4Ge4As8
mp-1016262,Mg7B1
