formula
Ac2Mg
Ac2S3
Ac3Br
Ac3Cr
Ac3Er
Ac3Hg
Ac3Pa
Ac3Si
Ac3Sm
Ac3Tb
Ac3Ti
AcAu3
AcBr3
AcCd3
AcCu3
AcDy3
AcEr3
AcEu3
AcF3
AcGe3
AcH2
AcIn3
AcLa
AcMg
AcMg3
AcN
AcNb3
AcNd3
AcPm3
AcPr3
AcSc3
AcSm3
AcTb3
AcTe3
AcYb3
Ag2Br3
Ag2F
Ag2F3
Ag2Hg3
Ag2O3
Ag2Se
Ag3F
Ag3O
Ag3P11
Ag3Ru
Ag3Sn
Ag7Te4
Ag8S
AgC
AgC6
AgF
AgF2
AgF3
AgGe3
AgI
AgI2
AgN
AgN3
AgO
AgO2
AgP15
AgP2
AgPt
AgRh
AgSe5
AgTe
AgTe3
Al10V
Al12Ru
Al2Au
Al2Mo3
Al2O
Al2Pd
Al2Ru
Al2S3
Al2Sn
Al2Te3
Al2Te5
Al2W
Al3Cu2
Al3H
Al3Ir
Al3Ni2
Al3Os2
Al3P
Al3Tc
Al3Tc2
Al3Tl
Al4Mo
Al4Ni15
Al4Si19
Al5Re24
Al8Cr5
Al8V5
Al9Co2
AlAs
AlAu2
AlB2
AlBr4
AlC3
AlCd3
AlCl3
AlCo4
AlCu3
AlFe3
AlGe3
AlH12
AlH3
AlH6
AlI3
AlIr
AlMo3
AlNi2
AlO
AlO2
AlO3
AlOs
AlP2
AlPb3
AlPd3
AlPt
AlPt2
AlRe
AlRe2
AlRh3
AlSi
AlTc3
AlV2
As2Pd
As2S
As2W
As3Rh
As3W
AsAu3
AsCl5
AsF3
AsI3
AsN9
AsO2
AsP
AsPd2
AsPd4
AsRu
B6As
Ba21Al40
Ba2As
Ba3Ag2
Ba3Al5
Ba3As2
Ba4Al
Ba4Al5
Ba5As3
Ba7Al10
BaAc3
BaAg
BaAl4
BaAs2
Be12Ag
Be2Ag
BeAl3
Ca13Al14
Ca2Ag7
Ca2As
Ca2As3
Ca3Ag8
Ca5Ag3
Ca5As3
Ca8Al3
CaAg2
CaAl2
Cd3Ag
CdAs3
CeAl3
CeAs
CeAs2
CeAu
CeAu2
Co2As
Co5As2
CoAs2
Cr2As
Cr3As
Cr4As3
Cr5As3
CrAg3
Cs2As3
Cs3Ac
CsAc
CsAc3
CsAl
Cu2As
Cu3As
Cu3As4
CuAs
Dy2Al
Dy3Al
Dy3Al2
Dy3As
DyAg2
DyAu
Er14Ag51
Er2Al
Er3Al2
Er4Al
ErAg
ErAg3
ErAu4
Eu2As3
Eu3Ag
Eu3Ag2
Eu4Al
Eu5As3
EuAg5
EuAu2
Fe12As5
Fe3Ag
FeAg
Ga3Ag
GaAg
Gd3Ag
Gd3Al
GdAg
GdAg2
GdAg3
GdAl
GdAl3
GeAs
H2O
Hf2Ag
Hf3Ag
Hf3Al2
Hf3As
Hf3As2
HfAg
HfAl
HfAl2
Hg3As
Ho2Al
Ho3Al2
HoAl
HoAl2
HoAl3
HoAs
In2Ag
In2Au3
InAg3
K2Ag
K3Ac
K3As11
KAg2
La16Al13
La3Ag
La3Al
La3Al11
La4As3
LaAg
LaAl
Li2Al
Li3Ac
Li3Ag2
Li3Al2
Li7Al6
Li8Ag5
Li9Ag4
Li9Al4
LiAg
LiAg3
LiAl
LiAl3
LiAs3
Lu3Al
Lu3Al2
LuAg4
LuAl
LuAl2
LuAl3
LuAu2
LuAu3
Mg13Al16
Mg149Ag
Mg16Al13
Mg17Al12
Mg18Al11
Mg26Ag7
Mg3Ag
Mg3Al
Mg3As2
Mg41Al67
Mg5Ag
Mg5As
MgAg
MgAg3
MgAg4
MgAs
MgAs4
Mn2As
Mn3As2
Mn5As4
MnAl6
MnAs
Mo2As3
Mo5As4
Na3Ag
Na3Al
Na3As
Na3As7
Na5As4
NaAc
NaAs
NaAs2
Nb3Al
Nb3As
Nb4Al
NbAs2
Nd14Ag51
Nd2Al
Nd3Ag
Nd3Al
Nd4Al
NdAg
NdAg2
NdAl
Ni11As8
Ni3Ag
Ni3As
NiAs
Np3As
Np3As4
NpAg3
Pm3Ag
Pm3Al
Pr2Al
Pr3Ag
Pr3Al
PrAl
PrAs3
Pu3Al
PuAl2
PuAs
Rb3Ag
Rb3Al
Rb3As
Re3As7
Sc3Al
Sc3As
Sc3As2
Sc7As3
ScAg3
ScAl2
ScAs
ScAu4
SiAg2
SiAs2
Sm2Al
Sm3Al11
Sm3Au
Sm4As3
SmAg
SmAl
SmAl5
SmAs3
Sn3As
Sr2Al
Sr3Ac
Sr3Ag
Sr3Al2
Sr3As
Sr4As3
Sr5Al9
Sr7Ag3
Sr8Al7
SrAg5
SrAl
SrAs3
Ta11Al4
Ta17Al12
Ta2Al
Ta5As4
TaAl3
Tb14Ag51
Tb2Al
Tb2Al17
Tb3Ag
Tb3Al
Tb3Al2
TbAl2
TbAl4
TbAs
TbAs3
TbAu3
Tc2As3
Tc3As
TeAs
Th2Ag
Th2Al7
Th2As3
Th3Al2
Th3As4
ThAg3
ThAl2
Ti2Ag
Ti2Al
Ti3Ag
Ti3Al5
Ti3As
Ti4As3
Ti5Al11
Ti5As3
TiAs
TiAs2
TiAs3
Tl3Ag
Tl3As
TlAs
Tm3Al
Tm3Al2
TmAg2
TmAl
TmAl2
TmAs
TmAs3
TmAu
U2As3
UAl2
UAl3
UAl4
UAs
UAs2
V4As3
V5As3
VAs
VAu4
Y14Ag51
Y2Al
Y3Al2
