formula
Ac2S3
Ac3Br
Ac3Cr
Ac3Dy
AcCu3
AcDy3
AcF3
AcGe3
AcH2
AcLa
AcNb3
AcSm3
AcYb3
Ag2F
Ag8S
AgGe3
AgI
AgI2
AgO
Al2W
Al3Tl
Al5Re24
Al7Te10
AlAs
AlCl3
AlO3
AlPt
AlRh3
AsI3
AsP
AsPd3
AsRu
Ba3Ag2
Ba4Al5
Be12Ag
Be2Ag
Ca2As
CaAg2
CeAl3
CeAs2
Co2As
CoAs2
Cr2As
Cs2As3
Cs3Ac
CsAl
Dy3Al2
Dy3As
DyAg2
Er4Al
ErAg
Eu2As3
Eu3Ag2
Eu4Al
Eu5As3
EuAg5
FeAg
H2O
Hf3As2
HfAl
La4As3
LaAl
Li2Al
Li3Ag2
Li7Al6
LiAg3
LiAs3
Lu3Al
Lu3Al2
Mg149Ag
Mg17Al12
Mg3Ag
Mg3As2
Mg41Al67
Mg5Ag
MgAg
MgAs
MgAs4
Mn3As2
Mo2As3
Na3Al
Na5As4
NaAc
NaAs2
Nb3As
Nd2Al
Nd4Al
NdAg
Np3As
Pr3Al
PrAs3
PuAl2
Rb3As
Sc7As3
ScAl2
ScAu4
Sm3Au
Sm4As3
SmAl
SmAl4
Sr3As
Sr8Al7
Ta2Al
Tb2Al
Tb2Al17
Tb3Ag
TbAs
TbAu3
Tc3As
Th3Al2
Th3As4
Ti2Ag
TmAl2
TmAs3
UAs
VAs
VAu4
Y2Al
Y4Al
Yb4As3
Zn2As
ZrAg2
ZrAs2
