mpid,formula
mp-1008925,Li2Fe2P2
mp-1008927,Li2Fe2As2
mp-1008965,Cd1N1
mp-1008985,Co1N1
mp-1008986,Ir4N4
mp-1008998,La1S1
mp-1009005,Ir1N1
mp-1009007,Lu1Sb1
mp-1009008,La1Te1
mp-1009009,Li1F1
mp-1009015,Ir1N1
mp-1009017,Ho1Sb1
mp-1009019,Fe1N1
mp-1009049,Ir1N2
mp-1009071,Ir2C4
mp-1009077,Fe4H4
mp-1009078,Co4N4
mp-1009079,Cr4Te4
mp-1009080,Ho1Cd2
mp-1009113,Ho1Hg2
mp-1009127,Mg1O1
mp-1009132,Ho4Bi4Pd4
mp-1009133,Mn1Co1
mp-1009134,Mn1Fe1
mp-1009206,Mn1Sn1
mp-1009207,Mn1Sb1
mp-1009218,Mo4C4
mp-1009219,Hf1N2
mp-1009220,Na1H1
mp-1009223,Na1As1
mp-1009237,Nd1N1
mp-1009238,Hf4Tl2
mp-1009264,Nb1Co1
mp-10094,Tm10Re4O24
mp-1009459,Nb1C1
mp-1009471,Nb1N1
mp-1009483,Ni1N1
mp-1009491,Rb4Te4
mp-1009493,Np1N1
mp-1009495,Os4N4
mp-1009504,Eu1Zn1Ge1
mp-1009533,Pd4C4
mp-1009537,Os1C1
mp-1009538,Pd4C4
mp-1009540,Os4C4
mp-1009543,Dy4Bi4Pd4
mp-1009545,Pa4N4
mp-1009551,Pb1S1
mp-1009555,Cr4O8
mp-1009581,Cr1Se2
mp-1009582,Ni4C4
mp-1009583,Pr1As1
mp-1009592,Cr4Fe4Te4
mp-1009593,Cr4Co4Te4
mp-1009596,Pd1N1
mp-1009601,Pd1N1
mp-1009640,Pr1N1
mp-1009646,Re1N1
mp-1009648,Pt1C1
mp-1009649,Pr1N1
mp-1009650,Rb4Sb4
mp-1009651,Ca1Hg2
mp-1009652,Rh4C4
mp-1009655,Ca1C2
mp-1009657,Ca2N4
mp-1009663,Re4C4
mp-1009694,Re4N4
mp-1009696,Rh4C4
mp-1009731,Re1C1
mp-1009732,Rh1N1
mp-1009734,Rh4N4
mp-1009735,Re1C1
mp-1009747,Sc4Sn4
mp-1009748,Sc1C1
mp-1009767,Ag1N1
mp-1009770,Ru4N4
mp-1009787,Ru4C4
mp-1009792,Ru4C4
mp-1009817,Ta1C1
mp-1009822,Sn4C4
mp-1009826,Ta1Co1
mp-1009831,Ta1N1
mp-1009832,Ta4C4
mp-1009833,Ta4N4
mp-1009834,Al4Ru2
mp-1009835,Ta1C1
mp-1009836,Zr1N1
mp-1009837,Tc4C4
mp-1009838,Zr1N1
mp-1009839,Tb1Al1
mp-1009848,Tc4C4
mp-1009878,Zr1C1
mp-1009894,Zr4C4
mp-1010,Mn2B8
mp-1010071,Cr1Co1
mp-10108,Np4P4
mp-10110,Si1Rh1
mp-1011031,Pr1Bi1
mp-10113,Sc1B1Ir3
mp-1011375,Ce2Se4
mp-1011376,Ce1Se2
mp-10114,Sc2B8Ir6
mp-10115,Th1B2Ir3
mp-10116,U1B2Ir3
mp-10120,Nd1B1Pd3
mp-10125,Sb2Ir2
mp-10126,V20Si4B8
mp-1012640,Cr2Fe2Co2Ni2
mp-10128,Th4Ge8
mp-10132,U1B2Os3
mp-10134,Tm1B1Pd3
mp-10135,Yb1B1Pd3
mp-1013531,Sr3Bi1N1
mp-1013559,Sr3As2
mp-10136,Ti4Re2B4
mp-10140,Sc3Tl1B1
mp-1014005,Mn8Si4Rh4
mp-1014214,C3N1
mp-1014219,Hf1Zn1
mp-1014227,Ti8Zn4N4
mp-1014244,Zr1Zn1N2
mp-1014246,Zr2B2
mp-1014251,Hf1Zn1N2
mp-1014252,Hf12Zn4N4
mp-1014264,Cr4N8
mp-1014265,Zr4N2
mp-1014281,C6N2
mp-1014296,C12N4
mp-10143,Ti4B4
mp-1014307,Zr2C2
mp-1014311,C12N4
mp-1014316,C3N1
mp-1014366,Cr2N4
mp-10144,B2W1
mp-1014462,Li4Y2Al2
mp-10145,Yb1B2
mp-10148,In1Sb1
mp-10152,La2Si4Ir4
mp-10154,Mn4Sb4Ir4
mp-1015612,Cr3N6
mp-1015811,Al2Co4Si2
mp-1016,Pu4Ge8
mp-1016197,Mg4Si4As8
mp-10163,Na4Al4Te8
mp-1016828,Cd1Ir1O3
mp-1016831,Hg1Ir1O3
mp-1016840,Hg1Os1O3
mp-1016841,Hf1Hg1O3
mp-1016849,Cd1Ru1O3
mp-1016871,Zr1Hg1O3
mp-1016874,Si1Hg1O3
mp-1016875,Cd1Rh1O3
